GitHub,busmaster,Tobias Lorenz,"Fix an issue with Extended IDs > INT_MAX.

Signed-off-by: Tobias Lorenz <tobias.lorenz@etas.com>",https://github.com/rbei-etas/busmaster/commit/d9c3b219ad2af3be43bfde3993280b09bde48048,Message ID Bug,
GitHub,busmaster,Arunkumar Karri,Introduced check to have no data for RTR frames. Fix for issue: 189.,https://github.com/rbei-etas/busmaster/commit/9d683c716434869116de6cfa0e52a728e3ac929c,Usage Error,Printing data packet for RTR frame
GitHub,busmaster,Arunkumar Karri,"Update Sources/CAN_Vector_XL/CAN_Vector_XL.cpp

Updated helper funcion bClassifyMsgType(..) to copy only valid DLC data. Fix for Git issue: 202.",https://github.com/rbei-etas/busmaster/commit/726a0e5b4bc738cb42fae276d12e647473cc455b,Data Bug,Buffer error:copying outside DLC buffer
GitHub,busmaster,Tobias Lorenz,"Bug fix for sending CAN FD frames will DLC>8.

Signed-off-by: Tobias Lorenz <tobias.lorenz@etas.com>",https://github.com/rbei-etas/busmaster/commit/558e89b9e3525d349901ba92f802c5a355e4a407,Data Bug,Buffer error - losing bytes in CAN FD after 8th byte wehn max is 64 bytes
GitHub,can2040,Kevin O'Connor,"can2040: Fix extended frame bit ordering of id

Signed-off-by: Kevin O'Connor <kevin@koconnor.net>",https://github.com/KevinOConnor/can2040/commit/6486d4be488212860bf596c85ce947c7dbe4a546,Message ID Bug,
GitHub,odroid-c1plus,snazarenko,fixed filters,https://github.com/sergiy-nazarenko/odroid-c1plus/commit/936818ea5c4f447e035cae838f938b2852be69a2,Usage Error,Incorrect filters set
GitHub,NMEA2000_mcp,ttlappalainen,Fix for frame buffer sizing.,https://github.com/ttlappalainen/NMEA2000_mcp/commit/9478687614e03f9bee869f80659c283367000191,Data Bug,receive buffer frame size issue
GitHub,cangaroo,Hubert Denkmair,"fixed bigendian can signals, for real",https://github.com/HubertD/cangaroo/commit/9cf87717f1a2b851507576befcded0637b4fd621,Data Bug,Issue reading signials due to big endianness
GitHub,ng_can,johnnyhh,fix read buffer overflow,https://github.com/johnnyhh/ng_can/commit/83aa3e64079c3caa4b545f85f7679e6c23344d2c,Data Bug,Buffer overflow issue
GitHub,CAN_BUS_Shield,Nick Johnson,Fix incorrect settings for 125k can bus speed,https://github.com/yexiaobo-seeedstudio/CAN_BUS_Shield/commit/5601f6b37f69335f66897b26dab89f3666140352,Baudrate Bug,
GitHub,can_bus,Pavel Pisa,"driver: fix frame data order on big-endian systems.

Tested on big-endian MIPS Malta system emulated by QEMU
with CTU CAN FD device model.

Signed-off-by: Pavel Pisa <pisa@cmp.felk.cvut.cz>",https://github.com/AlSaqr-platform/can_bus/commit/96e9d52ece492b33045a332d350b80eee041b2c4,Data Bug,Receiving frame data bytes in wrong order
